Name,Age,Gender,Emotion,Timestamp
,33,"{'Woman': np.float32(7.16633), 'Man': np.float32(92.83367)}",sad,2025-03-25 21:38:54
,33,"{'Woman': np.float32(10.154828), 'Man': np.float32(89.84517)}",sad,2025-03-25 21:38:58
,36,"{'Woman': np.float32(8.14431), 'Man': np.float32(91.85569)}",sad,2025-03-25 21:39:01
,33,"{'Woman': np.float32(14.302561), 'Man': np.float32(85.69744)}",sad,2025-03-25 21:39:04
,33,"{'Woman': np.float32(9.98048), 'Man': np.float32(90.019516)}",sad,2025-03-25 21:39:07
,34,"{'Woman': np.float32(4.1264405), 'Man': np.float32(95.873566)}",neutral,2025-03-25 21:39:10
,35,"{'Woman': np.float32(7.0652084), 'Man': np.float32(92.934784)}",sad,2025-03-25 21:39:13
,35,"{'Woman': np.float32(1.9537277), 'Man': np.float32(98.04628)}",sad,2025-03-25 21:39:16
,34,"{'Woman': np.float32(2.4548082), 'Man': np.float32(97.5452)}",neutral,2025-03-25 21:39:18
,34,"{'Woman': np.float32(7.7778034), 'Man': np.float32(92.2222)}",sad,2025-03-25 21:39:21
,35,"{'Woman': np.float32(7.096722), 'Man': np.float32(92.90328)}",sad,2025-03-25 21:39:24
,35,"{'Woman': np.float32(5.981083), 'Man': np.float32(94.01892)}",sad,2025-03-25 21:39:27
,34,"{'Woman': np.float32(16.232145), 'Man': np.float32(83.76786)}",sad,2025-03-25 21:39:31
,33,"{'Woman': np.float32(25.451942), 'Man': np.float32(74.54805)}",sad,2025-03-25 21:39:35
,37,"{'Woman': np.float32(13.755721), 'Man': np.float32(86.24427)}",sad,2025-03-25 21:39:38
,37,"{'Woman': np.float32(13.715048), 'Man': np.float32(86.28496)}",neutral,2025-03-25 21:39:42
,37,"{'Woman': np.float32(15.838478), 'Man': np.float32(84.16153)}",neutral,2025-03-25 21:39:45
,35,"{'Woman': np.float32(6.369709), 'Man': np.float32(93.63029)}",sad,2025-03-25 21:39:48
,36,"{'Woman': np.float32(6.7793674), 'Man': np.float32(93.220634)}",sad,2025-03-25 21:39:50
,35,"{'Woman': np.float32(9.400272), 'Man': np.float32(90.59973)}",sad,2025-03-25 21:39:54
Sita,33,"{'Woman': np.float32(68.8613), 'Man': np.float32(31.138702)}",sad,2025-03-25 22:03:43
Sita,33,"{'Woman': np.float32(44.827427), 'Man': np.float32(55.17257)}",sad,2025-03-25 22:03:46
Sita,33,"{'Woman': np.float32(22.201319), 'Man': np.float32(77.798676)}",sad,2025-03-25 22:03:49
Sita,35,"{'Woman': np.float32(49.088814), 'Man': np.float32(50.911186)}",sad,2025-03-25 22:03:51
Sita,34,"{'Woman': np.float32(38.921894), 'Man': np.float32(61.078106)}",sad,2025-03-25 22:03:54
Sita,34,"{'Woman': np.float32(18.825533), 'Man': np.float32(81.17446)}",sad,2025-03-25 22:03:56
Sita,34,"{'Woman': np.float32(57.529522), 'Man': np.float32(42.470486)}",sad,2025-03-25 22:03:59
Sita,35,"{'Woman': np.float32(27.812052), 'Man': np.float32(72.18794)}",sad,2025-03-25 22:04:02
Sita,34,"{'Woman': np.float32(31.465906), 'Man': np.float32(68.5341)}",sad,2025-03-25 22:04:04
Sita,34,"{'Woman': np.float32(13.792759), 'Man': np.float32(86.207245)}",sad,2025-03-25 22:04:08
Sita,34,"{'Woman': np.float32(51.01866), 'Man': np.float32(48.981335)}",sad,2025-03-25 22:04:10
Sita,34,"{'Woman': np.float32(19.98478), 'Man': np.float32(80.01522)}",sad,2025-03-25 22:04:13
Sita,41,"{'Woman': np.float32(32.746746), 'Man': np.float32(67.253265)}",sad,2025-03-25 22:04:16
Sita,35,"{'Woman': np.float32(45.209904), 'Man': np.float32(54.790096)}",sad,2025-03-25 22:04:20
Sita,36,"{'Woman': np.float32(21.326378), 'Man': np.float32(78.67362)}",sad,2025-03-25 22:04:23
Shivani,30,"{'Woman': np.float32(7.46274), 'Man': np.float32(92.53726)}",fear,2025-04-10 20:49:21
Shivani,29,"{'Woman': np.float32(13.749285), 'Man': np.float32(86.25071)}",neutral,2025-04-10 20:49:24
Shivani,30,"{'Woman': np.float32(12.17553), 'Man': np.float32(87.82447)}",neutral,2025-04-10 20:49:27
Shivani,29,"{'Woman': np.float32(7.639611), 'Man': np.float32(92.36038)}",angry,2025-04-10 20:49:33
Shivani,30,"{'Woman': np.float32(11.127996), 'Man': np.float32(88.872)}",neutral,2025-04-10 20:49:41
Shivani,31,"{'Woman': np.float32(9.507355), 'Man': np.float32(90.492645)}",angry,2025-04-10 20:49:45
Shivani,31,"{'Woman': np.float32(11.709249), 'Man': np.float32(88.29075)}",angry,2025-04-10 20:49:48
Shivani,31,"{'Woman': np.float32(9.091866), 'Man': np.float32(90.908134)}",neutral,2025-04-10 20:49:52
Shivani,32,"{'Woman': np.float32(5.6086044), 'Man': np.float32(94.3914)}",fear,2025-04-10 20:49:56
Shivani,31,"{'Woman': np.float32(7.4753323), 'Man': np.float32(92.524666)}",fear,2025-04-10 20:50:00
Shivani,29,"{'Woman': np.float32(8.606711), 'Man': np.float32(91.393295)}",angry,2025-04-10 20:50:04
Shivani,34,"{'Woman': np.float32(3.7959218), 'Man': np.float32(96.20408)}",sad,2025-04-10 20:50:23
Shivani,33,"{'Woman': np.float32(5.5430217), 'Man': np.float32(94.45698)}",sad,2025-04-10 20:50:25
Shivani,34,"{'Woman': np.float32(7.334578), 'Man': np.float32(92.66542)}",neutral,2025-04-10 20:50:27
Shivani,32,"{'Woman': np.float32(9.329252), 'Man': np.float32(90.670746)}",neutral,2025-04-10 20:50:29
Shivani,32,"{'Woman': np.float32(8.5934725), 'Man': np.float32(91.406525)}",neutral,2025-04-10 20:50:31
Shivani,30,"{'Woman': np.float32(6.7666106), 'Man': np.float32(93.23339)}",fear,2025-04-10 20:50:34
Kanishk,38,"{'Woman': np.float32(0.79704773), 'Man': np.float32(99.20296)}",neutral,2025-04-23 20:53:38
Kanishk,34,"{'Woman': np.float32(3.6112964), 'Man': np.float32(96.38871)}",neutral,2025-04-23 20:53:50
Kanishk,33,"{'Woman': np.float32(3.3109598), 'Man': np.float32(96.68905)}",sad,2025-04-23 20:53:57
Kanishk,32,"{'Woman': np.float32(3.208489), 'Man': np.float32(96.79152)}",angry,2025-04-23 20:54:05
Kanishk,25,"{'Woman': np.float32(0.3183093), 'Man': np.float32(99.681694)}",neutral,2025-04-23 20:54:09
Kanishk,34,"{'Woman': np.float32(2.3849), 'Man': np.float32(97.6151)}",neutral,2025-04-23 20:54:12
Kanishk,30,"{'Woman': np.float32(0.43290102), 'Man': np.float32(99.5671)}",fear,2025-04-23 20:54:14
Kanishk,29,"{'Woman': np.float32(0.1537655), 'Man': np.float32(99.84623)}",neutral,2025-04-23 20:54:16
